prevClose,dailyRange,revenue,open,weekRange,eps,volume,marketCap,dividend,avgVolume,ratio,beta,oneYearReturn,sharesOutstanding,nextEarningDate
126,125.67,34.76,126.78,107.07,11.5,"2,330,750",69.58,5.96,"3,444,752",10.94,0.987,-28.99,"552,742,915"
154.12,152.62,49.87,153.99,130.65,9.96,"1,662,992",114.92,2.08,"3,160,113",14.54,1.14,-7.86,"747,232,696"
285.57,278.34,26.19,284.19,209,12.54,"2,203,004",148.68,7.76,"2,818,300",22.89,0.64,32.13,"533,579,206"
142.65,140.9,394.33,142.34,129.04,6.15,"75,018,641",2.26,0.92,"88,653,055",24.24,1.25,-20.78,"15,908,118,000"
